submitit INFO (2025-06-27 18:03:29,137) - Starting with JobEnvironment(job_id=351632, hostname=node6, local_rank=0(1), node=0(1), global_rank=0(1))
submitit INFO (2025-06-27 18:03:29,137) - Loading pickle: /home/tom.balay/Baking_EEG/submitit/submitit_logs/KA70_PP/351632_submitted.pkl
DEBUG Worker - project_root: /home/tom.balay/Baking_EEG
DEBUG Worker - sys.path: ['/home/tom.balay/Baking_EEG', '/home/tom.balay/Baking_EEG/submitit', '/usr/lib/python311.zip']...
DEBUG Worker - Processing subject KA70 from group VS
DEBUG Worker - Using PP protocol (extended/battery)
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/4/Music/Conv/G/V1' (code 3144): 2 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/4/Music/Conv/G/V2' (code 3154): 1 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/4/Music/Conv/G/V3' (code 3164): 1 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/4/Music/Conv/D/V1' (code 3174): 1 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/4/Music/Conv/D/V2' (code 3184): 2 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/4/Music/Conv/D/V3' (code 3194): 1 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/5/Music/Conv/G/V1' (code 3145): 2 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/5/Music/Conv/G/V2' (code 3155): 1 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/5/Music/Conv/G/V3' (code 3165): 2 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/5/Music/Conv/D/V1' (code 3175): 1 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/5/Music/Conv/D/V2' (code 3185): 2 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/5/Music/Conv/D/V3' (code 3195): 4 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/6/Music/Conv/G/V1' (code 3146): 1 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/6/Music/Conv/G/V2' (code 3156): 0 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/6/Music/Conv/G/V3' (code 3166): 1 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/6/Music/Conv/D/V1' (code 3176): 3 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/6/Music/Conv/D/V2' (code 3186): 2 epochs
2025-06-27 18:03:33,415 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/6/Music/Conv/D/V3' (code 3196): 0 epochs
2025-06-27 18:03:33,499 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:342] - Processing conditions: ['XPP_ALL', 'XAP_ALL']
2025-06-27 18:03:33,616 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:455] -   Data shapes for 'KA70': XPP_ALL=(63, 124, 601), XAP_ALL=(61, 124, 601). Loaded in 0.46s
2025-06-27 18:03:33,616 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_battery:526] - Battery protocol loaded: 124 total epochs for subject 'KA70'
2025-06-27 18:03:33,616 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_battery:537] - Battery events detected: 42 events (['PP/Music/Conv/G/V1', 'PP/Music/Conv/G/V2', 'PP/Music/Conv/G/V3', 'PP/Music/Conv/D/V1', 'PP/Music/Conv/D/V2'])
2025-06-27 18:03:33,617 - INFO - examples.run_decoding_one_pp - [execute_single_subject_decoding:274] - Detected protocol 'battery' for subject KA70
2025-06-27 18:03:33,883 - ERROR - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:438] - CRITICAL: No data loaded for ANY specified conditions for subject KA70.
2025-06-27 18:03:33,883 - WARNING - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:445] - Empty data array for condition 'temp' (specifier: 'AP') for subject KA70.
2025-06-27 18:03:33,883 - INFO - utils.loading_PP_utils - [detect_protocol_type:712] - Detected Battery protocol: 42 Music/Conv events, 124 total events
2025-06-27 18:03:33,883 - INFO - utils.loading_PP_utils - [load_epochs_data_auto_protocol:856] - Auto-detected protocol 'battery' for subject 'KA70' (file hint: battery)
2025-06-27 18:03:33,884 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_battery:503] - Loading Battery protocol data for subject 'KA70' (group: VS)
2025-06-27 18:03:33,884 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_battery:507] - Battery protocol conditions: ['XPP_ALL', 'XAP_ALL', 'PP_MUSIC', 'PP_CONV', 'AP_MUSIC', 'AP_CONV', 'AP_FAMILY_1', 'AP_FAMILY_2', 'AP_FAMILY_3', 'AP_FAMILY_4', 'AP_FAMILY_5', 'AP_FAMILY_6']
2025-06-27 18:03:33,884 - INFO - utils.loading_PP_utils - [find_epochs_file_with_protocol_detection:64] - Found epochs file: /mnt/data/tom.balay/data/Baking_EEG_data/PP_VS_1HZ/Battery/KA70_preproc_noICA_PPAP-epo_ar.fif (protocol: battery)
2025-06-27 18:03:33,884 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:301] - Loading epoch data for subject 'KA70' from: /mnt/data/tom.balay/data/Baking_EEG_data/PP_VS_1HZ/Battery/KA70_preproc_noICA_PPAP-epo_ar.fif (file protocol: battery)
2025-06-27 18:03:34,066 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:312] - Event IDs available for KA70:
2025-06-27 18:03:34,066 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/G/V1': 1140
2025-06-27 18:03:34,066 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/G/V2': 1150
2025-06-27 18:03:34,066 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/G/V3': 1160
2025-06-27 18:03:34,066 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/D/V1': 1170
2025-06-27 18:03:34,066 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/D/V2': 1180
