submitit INFO (2025-06-30 10:14:23,086) - Starting with JobEnvironment(job_id=352463, hostname=node17, local_rank=0(1), node=0(1), global_rank=0(1))
submitit INFO (2025-06-30 10:14:23,086) - Loading pickle: /home/tom.balay/Baking_EEG/submitit/submitit_logs/AO05_PP/352463_submitted.pkl
DEBUG Worker - project_root: /home/tom.balay/Baking_EEG
DEBUG Worker - sys.path: ['/home/tom.balay/Baking_EEG', '/home/tom.balay/Baking_EEG/submitit', '/usr/lib/python311.zip']...
DEBUG Worker - Processing subject AO05 from group CONTROLS_COMA
DEBUG Worker - Using PP protocol (extended/battery)
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Dio/V2': 3124
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Dio/V3': 3134
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/G/V1': 3144
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/G/V2': 3154
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/G/V3': 3164
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/D/V1': 3174
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/D/V2': 3184
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/D/V3': 3194
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Noise/Dio/V1': 2115
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Noise/Dio/V2': 2125
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Noise/Dio/V3': 2135
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Noise/Conv/G/V1': 2145
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Noise/Conv/G/V2': 2155
2025-06-30 10:14:26,934 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Noise/Conv/G/V3': 2165
